dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean
Coffee,1,0,1,95.7227235635122,0.333690563837687
Beef,0.711111111111111,0.0157134840263677,0.666666666666667,89.3804673353831,0.298324108123779
GunPoint,0.997777777777778,0.0031426968052735,1,95.6046226024628,0.84314767519633
ECG200,0.906666666666667,0.0169967317119759,0.91,101.709070682526,1.11225279172262
Wine,0.691358024691358,0.0314754290962517,0.722222222222222,53.1377798716227,1.13972004254659
ToeSegmentation1,0.970760233918129,0.0054702593373888,0.978070175438596,97.3122480710347,0.893395264943441
ArrowHead,0.84,0.0139970842444752,0.845714285714286,91.2835167249044,0.947519858678182
CBF,0.997777777777778,0.0015713484026368,0.998888888888889,102.018559455872,0.753273089726766
BME,0.98,0.0108866210790363,0.986666666666667,87.1682180563609,0.547030210494995
FreezerRegularTrain,0.99812865497076,0.000437620746991,0.99859649122807,97.1851450602214,0.968741496404012
Trace,1,0,1,101.622066100438,0.983866055806478
Plane,1,0,1,109.470124006271,1.05578676859538
FacesUCR,0.948130081300813,0.0054368304056261,0.958048780487805,88.6981510321299,1.00002527236938
Fish,0.977142857142857,0.0046656947481584,0.977142857142857,66.6479674180349,1.00578355789185
Yoga,0.900777777777778,0.0101482833189159,0.914,140.205243905385,1.0206736723582
SwedishLeaf,0.949333333333333,0.0039911012125588,0.9584,63.5800270239512,0.878720204035441
ECG5000,0.941111111111111,0.0014401645996461,0.942,137.032382885615,1.02848633130391
ChlorineConcentration,0.828125,0.0088413919281328,0.834114583333333,123.177147944768,0.669064362843831
Adiac,0.800511508951407,0.0041764530993745,0.823529411764706,72.0103526115418,0.931244055430094
FiftyWords,0.769230769230769,0.0109155050738105,0.784615384615385,89.4400937557221,1.16029620170593
FaceAll,0.804339250493097,0.0259831521973391,0.798816568047337,94.6798396110535,0.743188619613648
StarLightCurves,0.974056985591711,0.0015685464120993,0.976930548810102,789.957619190216,1.29173914591471
Wafer,0.998810296344365,0.0002023392486899,0.999188838416612,159.935317913691,0.923463503519694
ElectricDevices,0.686421994553236,0.0060753818668606,0.703540396835689,448.579284350077,0.776697238286336
Crop,0.717222222222222,0.0015255859354556,0.745714285714286,398.676723321279,0.775007963180542
NonInvasiveFetalECGThorax1,0.949279050042409,0.0010457021209446,0.956234096692112,527.990460157394,1.03101054827372
SmoothSubspace,0.98,0.0054433105395181,0.986666666666667,35.4740998744965,0.697427352269491
ShapesAll,0.897777777777778,0.0051520102752754,0.911666666666667,153.451382875443,0.970541636149088
CricketX,0.807692307692308,0.0116565655529793,0.835897435897436,79.1859605312347,0.74457859992981
UWaveGestureLibraryX,0.806904894844593,0.00206831479349459,0.822445561139028,197.673536221186,1.10691380500793
AVERAGE ,0.894348248844112,0.00700092029264255,0.901192582635181,159.600337738461,0.887720333205329
