dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean
Coffee,1,0,1,92.2164004643758,0.339836200078328
Beef,0.733333333333333,0.0471404520791032,0.733333333333333,83.8626285394033,0.353251616160075
GunPoint,0.997777777777778,0.0031426968052735,0.993333333333333,92.7262000242869,0.774744908014933
ECG200,0.903333333333333,0.0047140452079103,0.9,38.0814208984375,0.925345818201701
Wine,0.666666666666667,0.0907218423253028,0.703703703703704,50.6427390575409,0.981887817382812
ToeSegmentation1,0.964912280701754,0.0035811253549461,0.960526315789474,105.04820561409,0.940011024475098
ArrowHead,0.822857142857143,0.0080812203564176,0.828571428571429,95.9522608121236,0.976391235987345
CBF,0.998888888888889,1.11022302462516E-16,0.998888888888889,109.286793073018,0.770490566889445
BME,0.962222222222222,0.0083147941928309,0.966666666666667,89.5845145384471,0.551217794418335
FreezerRegularTrain,0.998479532163743,0.000437620746991,0.998947368421053,127.617540756861,1.00439755121867
Trace,1,0,1,45.6231331030528,0.917842547098796
Plane,1,0,1,39.754048983256,1.02847305933634
FacesUCR,0.953333333333333,0.0023337723730743,0.960487804878049,106.055693546931,0.901706139246623
Fish,0.980952380952381,0.0053874802376118,0.977142857142857,69.8594651222229,0.972126801808675
Yoga,0.908333333333333,0.0074585273097059,0.924666666666667,160.283214330673,1.03036777178446
SwedishLeaf,0.959466666666667,0.0052797306328595,0.9664,75.6349143981934,0.778584718704224
ECG5000,0.941037037037037,0.0019986277871454,0.944222222222222,179.144337177277,0.964283545811971
ChlorineConcentration,0.843663194444445,0.001281668668423,0.851041666666667,166.184295574824,0.666136821111043
Adiac,0.816709292412617,0.0151066028530855,0.833759590792839,70.3118656476339,0.786137580871582
FiftyWords,0.743589743589744,0.0135877194073196,0.791208791208791,92.2918908596039,0.77442200978597
FaceAll,0.81163708086785,0.0200621871636314,0.813609467455621,111.239644130071,0.586434205373128
StarLightCurves,0.975756839889914,0.0015432795827212,0.976809130645945,882.317831039429,1.30422027905782
Wafer,0.999026606099935,0.0002649242637663,0.998864373783258,258.674641211828,0.983254909515381
ElectricDevices,0.681926252539662,0.0033523530835328,0.696796783815329,639.827255407969,0.80083703994751
Crop,0.718888888888889,0.0023309903472541,0.748571428571429,655.506775220235,0.761534372965495
NonInvasiveFetalECGThorax1,0.95284139100933,0.0023627461029998,0.961832061068702,678.436761220296,1.04329148928324
SmoothSubspace,0.982222222222222,0.006285393610547,0.986666666666667,35.0952339967092,0.695144891738892
ShapesAll,0.892777777777778,0.0028327886186626,0.906666666666667,173.635966539383,0.774041016896566
CricketX,0.824786324786325,0.0031979977664734,0.841025641025641,84.8184724648794,0.742746909459432
UWaveGestureLibraryX,0.814535641168807,0.00252116456060747,0.828866554997208,221.068160931269,1.01502299308777
AVERAGE,0.894998506165505,0.00877739171460655,0.903086980432748,187.692743489477,0.838139454523722
