dataset,LITE-mean,LITE-std,LITETime,Training Time-mean,Testing Time-mean,CO2 Consumption-mean,Energy Consumption-mean,Country,Region
CricketX,0.0974358974358974,0.0242168593910104,0.1435897435897435,2.4065596580505373,0.3739260196685791,6.898503764722697e-07,1.2310183559168967e-05,France,grand est
Cricket,0.25,0.0,0.25,2.649564266204834,0.489732027053833,9.4255651217277e-07,1.681965260216581e-05,France,grand est
