LITE-mean	LITE-std	LITETime	Training Time (s)-mean	Testing Time (s)-mean	CO2eq Emissions (kg)-mean	Energy Consumption (kWh)-mean
0.831614374135165	0.0137254876200901	0.844861733855319	159.494531575963	0.768511250987649	0.00109520957083111	0.00376613046829035

REPRODUCED SUMS
Training Time (s)-mean	Testing Time (s)-mean	CO2eq Emissions (kg)-mean	Energy Consumption (kWh)-mean
20415.3000417233	98.3694401264191	0.140186825066382	0.482064699941164

OG PAPER (mean of the columns)
LITE	LITETime
0.830351317641134	0.846190557886012
                                    
